load1,load2,load3,load4,load5,load6,load7,month,date,hour,temp,is_weekend,label
1072.950702,1162.751624,1080.235304,1286.769442,1088.873422,966.339591,1136.819727,1,14,16,-4.390203857,1,926.9129744
887.8661843,1129.261592,1013.584692,1027.495153,909.2970953,821.1802224,981.8640398,1,14,17,-6.946325684,1,762.1185099
747.7647956,981.6590279,824.7423204,924.8817913,752.4650129,787.6108055,940.5542711,1,14,18,-6.694586182,1,812.8323145
712.3930817,968.0645697,732.5018592,807.1912993,985.6128084,646.8992266,917.0119326,1,14,19,-5.947515869,1,759.8153409
812.0035457,967.4443344,802.2038347,712.8146238,805.5897594,671.3018846,642.6988919,1,14,20,-5.729162598,1,699.4428961
619.638957,819.002088,645.6581176,766.8550375,765.0541932,522.2121108,433.9649455,1,14,21,-6.254278564,1,594.7167084
425.4178304,514.7161079,467.3936129,513.8644545,550.0132599,397.7499723,331.3550147,1,14,22,-7.35413208,1,426.8583608
345.7368066,300.5637866,381.1202696,442.7750498,338.242713,248.8800045,290.8295218,1,14,23,-7.737585449,1,255.2234087
286.6301806,289.0646602,289.2070821,272.8475906,309.6488095,192.2558319,265.1393024,1,15,0,-8.701208496,1,287.9481573
227.6715242,242.298538,228.6963665,237.4413392,271.8611579,164.7880851,235.687504,1,15,1,-9.279547119,1,218.6866338
170.9078078,224.5963346,189.4045558,186.7554723,159.1084777,145.1432191,180.6229324,1,15,2,-9.432043457,1,222.3787108
190.2204662,220.5575826,240.0346724,196.1530745,222.2723847,131.9258328,180.22615,1,15,3,-10.50211182,1,180.2853812
433.9130227,429.007238,439.8935075,373.686719,277.7341986,188.1820443,469.5775219,1,15,4,-10.82062378,1,369.0744954
762.0145643,727.4151546,803.1292495,566.1798745,467.6562441,380.1091744,668.3778256,1,15,5,-12.70181885,1,650.157232
813.1150728,832.9765513,740.9033981,778.5012831,634.3942911,582.3175354,909.8817835,1,15,6,-11.09400024,1,726.4097233
799.52484,819.8203991,908.6861158,751.2288984,914.2471991,631.5447876,1209.288805,1,15,7,-11.84107056,1,724.3160927
938.259626,999.32595,1003.22363,923.0240154,967.9126961,915.2774404,1159.782355,1,15,8,-10.81339111,1,942.8009654
1071.553808,952.8452054,1008.384216,867.0816722,1167.856928,1086.628195,843.7960159,1,15,9,-5.138189697,1,863.9243198
1175.399948,992.1328535,944.8114102,829.3589797,1032.207335,1093.317548,791.4762346,1,15,10,-4.631109619,1,1022.33641
1118.376371,1462.101875,992.4514078,879.6639927,1032.759494,1095.569165,984.3793936,1,15,11,-4.717718506,1,898.4420478
1048.307981,1326.86503,1191.81274,912.5199133,1109.070936,1062.392023,849.6489659,1,15,12,-2.028997803,1,889.6186907
1015.028462,1252.67356,1109.00653,1156.334309,1142.633636,916.9375287,906.1672712,1,15,13,-1.666296387,1,1056.010899
1142.206292,1162.900694,1185.807383,1057.036202,1080.020413,1146.355245,945.8044457,1,15,14,-1.117712402,1,967.4133046
1314.779111,1302.60252,1413.296109,1238.930122,1153.694104,1234.044747,914.6529209,1,15,15,-1.493048096,1,1013.018442
1162.751624,1080.235304,1286.769442,1088.873422,966.339591,1136.819727,926.9129744,1,15,16,-3.328253174,1,1112.515831
1129.261592,1013.584692,1027.495153,909.2970953,821.1802224,981.8640398,762.1185099,1,15,17,-5.234716797,1,886.4602978
981.6590279,824.7423204,924.8817913,752.4650129,787.6108055,940.5542711,812.8323145,1,15,18,-5.130072021,1,864.8269436
968.0645697,732.5018592,807.1912993,985.6128084,646.8992266,917.0119326,759.8153409,1,15,19,-4.830511475,1,689.0319753
967.4443344,802.2038347,712.8146238,805.5897594,671.3018846,642.6988919,699.4428961,1,15,20,-5.105688477,1,739.5995977
819.002088,645.6581176,766.8550375,765.0541932,522.2121108,433.9649455,594.7167084,1,15,21,-5.592016602,1,592.2525139
514.7161079,467.3936129,513.8644545,550.0132599,397.7499723,331.3550147,426.8583608,1,15,22,-8.013677979,1,473.6624815
300.5637866,381.1202696,442.7750498,338.242713,248.8800045,290.8295218,255.2234087,1,15,23,-8.430517578,1,325.673412
289.0646602,289.2070821,272.8475906,309.6488095,192.2558319,265.1393024,287.9481573,1,16,0,-9.116247559,0,287.1821407
242.298538,228.6963665,237.4413392,271.8611579,164.7880851,235.687504,218.6866338,1,16,1,-9.578192139,0,240.5277517
224.5963346,189.4045558,186.7554723,159.1084777,145.1432191,180.6229324,222.3787108,1,16,2,-9.769476318,0,177.9247464
220.5575826,240.0346724,196.1530745,222.2723847,131.9258328,180.22615,180.2853812,1,16,3,-9.699102783,0,221.4698628
429.007238,439.8935075,373.686719,277.7341986,188.1820443,469.5775219,369.0744954,1,16,4,-9.286779785,0,353.239039
727.4151546,803.1292495,566.1798745,467.6562441,380.1091744,668.3778256,650.157232,1,16,5,-9.478948975,0,607.5180683
832.9765513,740.9033981,778.5012831,634.3942911,582.3175354,909.8817835,726.4097233,1,16,6,-9.840765381,0,706.9452637
819.8203991,908.6861158,751.2288984,914.2471991,631.5447876,1209.288805,724.3160927,1,16,7,-10.27023926,0,728.8567441
999.32595,1003.22363,923.0240154,967.9126961,915.2774404,1159.782355,942.8009654,1,16,8,-10.53641357,0,824.7330741
952.8452054,1008.384216,867.0816722,1167.856928,1086.628195,843.7960159,863.9243198,1,16,9,-3.948095703,0,888.3864305
992.1328535,944.8114102,829.3589797,1032.207335,1093.317548,791.4762346,1022.33641,1,16,10,-3.820898437,0,907.5492088
1462.101875,992.4514078,879.6639927,1032.759494,1095.569165,984.3793936,898.4420478,1,16,11,-3.563726807,0,941.2690458
1326.86503,1191.81274,912.5199133,1109.070936,1062.392023,849.6489659,889.6186907,1,16,12,-0.138769531,0,1001.066993
1252.67356,1109.00653,1156.334309,1142.633636,916.9375287,906.1672712,1056.010899,1,16,13,-0.052160645,0,905.1380611
1162.900694,1185.807383,1057.036202,1080.020413,1146.355245,945.8044457,967.4133046,1,16,14,-0.160406494,0,1055.374302
1302.60252,1413.296109,1238.930122,1153.694104,1234.044747,914.6529209,1013.018442,1,16,15,-0.975164795,0,1124.688262
